ref_hash,obj
1000169251625791246_sc,146445.5
1000169251625791246_st,82870.484
1000395625957344683_sc,168778.1
1000395625957344683_st,124750.86
1003027494996471685_sc,104669.734
1003027494996471685_st,85845.305
1006670001679961544_sc,146923.88
1006670001679961544_st,168741.86
1007573308966476713_sc,168778.1
1007573308966476713_st,82870.484
1010070503877148763_sc,127792.69
1010070503877148763_st,82580.03
1010265377387765028_sc,168778.1
1010265377387765028_st,83830.125
1010531372912327058_sc,168778.1
1010531372912327058_st,82580.03
1011610998357271358_sc,147177.5
1011610998357271358_st,168741.86
1013543838965040946_sc,125489.29
1013543838965040946_st,84177.06
1014428234021750342_sc,105480.5
1014428234021750342_st,82870.484
101763096421653092_sc,147282.19
101763096421653092_st,82315.48
1017668882534236751_sc,148217.1
1017668882534236751_st,86368.33
1017958004932387739_sc,106253.83
1017958004932387739_st,83740.445
1018126962792619181_sc,146452.81
1018126962792619181_st,168741.86
1021582875881379650_sc,107606.58
1021582875881379650_st,168741.86
1022093956983448460_sc,129241.55
1022093956983448460_st,82870.484
1022155574388897311_sc,168778.1
1022155574388897311_st,83393.51
1024792555410741306_sc,125735.82
1024792555410741306_st,85845.305
1026825193119998092_sc,168778.1
1026825193119998092_st,84177.06
1030603044158081433_sc,147550.69
1030603044158081433_st,83830.125
1030865855693267844_sc,125950.21
1030865855693267844_st,83946.48
1032938399279723623_sc,147558.67
1032938399279723623_st,84878.234
1036919443887988520_sc,147377.66
1036919443887988520_st,168741.86
1037575899869926_sc,147596.7
1037575899869926_st,80718.45
1042912100594917197_sc,128785.13
1042912100594917197_st,86715.266
104412862089502190_sc,168778.1
104412862089502190_st,83740.445
1048460865075142817_sc,146952.61
1048460865075142817_st,168741.86
1048487908287530052_sc,127397.336
1048487908287530052_st,84878.234
1048782984015604883_sc,168778.1
1048782984015604883_st,168741.86
1052346027668414186_sc,148138.89
1052346027668414186_st,82870.484
1052782935269141271_sc,105457.836
1052782935269141271_st,83393.51
105337483767914646_sc,107694.64
105337483767914646_st,84008.266
1053399148291039201_sc,168778.1
1053399148291039201_st,84177.06
1054881396892383323_sc,168778.1
1054881396892383323_st,89412.96
1055760083915480820_sc,125295.836
1055760083915480820_st,83393.51
1056749944537419493_sc,106265.44
1056749944537419493_st,86715.266
1058525390691423513_sc,147420.97
1058525390691423513_st,83393.51
1062274422372114651_sc,148004.78
1062274422372114651_st,82870.484
1069066119870904979_sc,168778.1
1069066119870904979_st,83740.445
1070673984959261173_sc,132784.31
1070673984959261173_st,86715.266
1071701264087131067_sc,158058.44
1071701264087131067_st,82870.484
1076086792264173440_sc,126091.66
1076086792264173440_st,83740.445
1078063581723896055_sc,102218.52
1078063581723896055_st,168741.86
1078643268919016184_sc,107666.59
1078643268919016184_st,168741.86
1080074517463091765_sc,147282.19
1080074517463091765_st,82233.09
108091152851614035_sc,126056.17
108091152851614035_st,83740.445
1082062519835461489_sc,148093.2
1082062519835461489_st,83393.51
1083324672128707147_sc,126029.81
1083324672128707147_st,84531.3
1084673948755476350_sc,102944.164
1084673948755476350_st,84008.266
108675559753870541_sc,168778.1
108675559753870541_st,83393.51
1090348823218637154_sc,147654.47
1090348823218637154_st,82315.48
1091213713572176533_sc,168778.1
1091213713572176533_st,83740.445
1092578651697005865_sc,168778.1
1092578651697005865_st,84853.69
109389620877102250_sc,146452.81
109389620877102250_st,83830.125
1095130837096278807_sc,147446.55
1095130837096278807_st,84531.3
1097690588650818183_sc,147409.03
1097690588650818183_st,80145.86
1098333517628887771_sc,107223.56
1098333517628887771_st,82870.484
1098698655660153317_sc,168778.1
1098698655660153317_st,86715.266
1100694657931150169_sc,147519.06
1100694657931150169_st,81878.86
1102680423242413676_sc,126996.12
1102680423242413676_st,84177.06
1106971792117053344_sc,168778.1
1106971792117053344_st,168741.86
1108571703275362862_sc,168778.1
1108571703275362862_st,84878.234
1109716870153151001_sc,168778.1
1109716870153151001_st,82040.18
1110652558277138855_sc,147146.11
1110652558277138855_st,89759.9
1111065470587874091_sc,168778.1
1111065470587874091_st,72076.49
111177788438165194_sc,107666.59
111177788438165194_st,80668.88
1113913537041480485_sc,147602.52
