ref_hash,obj
1000169251625791246_sc,129729.96229360795
1000169251625791246_st,131586.45153346792
1000395625957344683_sc,128875.68622584875
1000395625957344683_st,130999.62934759114
1003027494996471685_sc,131095.33854610618
1003027494996471685_st,132120.90652057974
1006670001679961544_sc,128798.18526563149
1006670001679961544_st,165103.45282245288
1007573308966476713_sc,128875.68622584875
1007573308966476713_st,131000.3939984476
1010070503877148763_sc,129426.73933456217
1010070503877148763_st,195492.34602637304
1010265377387765028_sc,128875.68622584875
1010265377387765028_st,227194.14976707532
1010531372912327058_sc,128875.68622584875
1010531372912327058_st,131795.14134534614
1011610998357271358_sc,128875.68622584875
1011610998357271358_st,165733.29107341135
1013543838965040946_sc,129910.23588207904
1013543838965040946_st,131913.68461524617
1014428234021750342_sc,131979.14402227988
1014428234021750342_st,132034.04663363908
101763096421653092_sc,127491.17735279625
101763096421653092_st,130855.47768293196
1017668882534236751_sc,129019.77347724845
1017668882534236751_st,131049.39497847734
1017958004932387739_sc,129921.5265469542
1017958004932387739_st,131175.64146760234
1018126962792619181_sc,128041.40464025145
1018126962792619181_st,259200.0
1021582875881379650_sc,131503.07308777206
1021582875881379650_st,259200.0
1022093956983448460_sc,129493.47007450052
1022093956983448460_st,164312.0062696191
1022155574388897311_sc,128875.68622584875
1022155574388897311_st,131646.58272450903
1024792555410741306_sc,130242.96926343955
1024792555410741306_st,195478.63183623366
1026825193119998092_sc,128875.68622584875
1026825193119998092_st,131100.01480569673
1030603044158081433_sc,128798.18526563149
1030603044158081433_st,132906.8463802464
1030865855693267844_sc,129694.59028929957
1030865855693267844_st,195492.34602637304
1032938399279723623_sc,127491.17735279625
1032938399279723623_st,133216.20757807538
1036919443887988520_sc,127808.20826109592
1036919443887988520_st,226135.5268174109
1037575899869926_sc,127808.20826109592
1037575899869926_st,130523.5936242892
1042912100594917197_sc,129493.47007450052
1042912100594917197_st,131220.3801015795
104412862089502190_sc,128875.68622584875
104412862089502190_st,164060.89879892662
1048460865075142817_sc,127491.17735279625
1048460865075142817_st,226229.91615158078
1048487908287530052_sc,129975.09105101523
1048487908287530052_st,132828.82293644632
1048782984015604883_sc,128875.68622584875
1048782984015604883_st,259200.0
1052346027668414186_sc,127491.17735279625
1052346027668414186_st,131176.48193595893
1052782935269141271_sc,130403.76642604936
1052782935269141271_st,227064.6059156727
105337483767914646_sc,132099.1228791276
105337483767914646_st,132505.51372988732
1053399148291039201_sc,128875.68622584875
1053399148291039201_st,131258.13853441778
1054881396892383323_sc,128875.68622584875
1054881396892383323_st,131953.73238513884
1055760083915480820_sc,132036.40681274413
1055760083915480820_st,131305.8643173858
1056749944537419493_sc,129366.60964094922
1056749944537419493_st,133721.8461565433
1058525390691423513_sc,128798.18526563149
1058525390691423513_st,133112.02933955257
1062274422372114651_sc,128644.62693833448
1062274422372114651_st,165028.5458552267
1069066119870904979_sc,128875.68622584875
1069066119870904979_st,131154.98947935936
1070673984959261173_sc,135947.987863668
1070673984959261173_st,130947.6747686118
1071701264087131067_sc,128644.62693833448
1071701264087131067_st,133914.39932288846
1076086792264173440_sc,129910.23588207904
1076086792264173440_st,133059.04472424925
1078063581723896055_sc,130223.54501904851
1078063581723896055_st,165152.01804052186
1078643268919016184_sc,131017.82119809208
1078643268919016184_st,259200.0
1080074517463091765_sc,127491.17735279625
1080074517463091765_st,131254.28101987732
108091152851614035_sc,131750.24759296747
108091152851614035_st,131851.17714068745
1082062519835461489_sc,128798.18526563149
1082062519835461489_st,132640.94723223476
1083324672128707147_sc,130435.18047058945
1083324672128707147_st,131371.94591333368
1084673948755476350_sc,121084.79045434596
1084673948755476350_st,131307.8592925923
108675559753870541_sc,128875.68622584875
108675559753870541_st,132667.39348678102
1090348823218637154_sc,128568.17757077055
1090348823218637154_st,161448.9426108423
1091213713572176533_sc,128875.68622584875
1091213713572176533_st,164936.58056382253
1092578651697005865_sc,128875.68622584875
1092578651697005865_st,163868.68652095785
109389620877102250_sc,128041.40464025145
109389620877102250_st,132817.97361294823
1095130837096278807_sc,127974.67390031312
1095130837096278807_st,131315.27088309053
1097690588650818183_sc,127741.47752115759
1097690588650818183_st,131711.47842703635
1098333517628887771_sc,130951.09045815373
1098333517628887771_st,226345.32858525804
1098698655660153317_sc,128875.68622584875
1098698655660153317_st,133185.69771682177
1100694657931150169_sc,127557.90809273461
1100694657931150169_st,130989.70939740122
1102680423242413676_sc,130172.60897509135
1102680423242413676_st,133259.50528376744
1106971792117053344_sc,128875.68622584875
1106971792117053344_st,259200.0
1108571703275362862_sc,128875.68622584875
1108571703275362862_st,131176.86060681375
1109716870153151001_sc,128875.68622584875
1109716870153151001_st,131907.39712642462
1110652558277138855_sc,127491.17735279625
1110652558277138855_st,131862.83556221786
1111065470587874091_sc,128875.68622584875
1111065470587874091_st,132007.47196445506
111177788438165194_sc,130070.74170208769
111177788438165194_st,131130.98354219398
1113913537041480485_sc,127741.47752115759
1113913537041480485_st,164114.6013087351
1114026657194419748_sc,128875.68622584875
1114026657194419748_st,131932.4815303724
1114323564105303141_sc,127808.20826109592
1114323564105303141_st,164779.31404092698
1114508230319864946_sc,127557.90809273461
1114508230319864946_st,132624.46977643255
1115138041376043539_sc,130172.60897509135
1115138041376043539_st,132528.2042801354
1117590669569321964_sc,133412.32019055134
1117590669569321964_st,130997.4030147709
1117811498061299916_sc,128875.68622584875
1117811498061299916_st,131253.4732071627
1118296407046663101_sc,130940.32023787475
1118296407046663101_st,132237.67185274913
1119031235556320896_sc,130261.05696050887
1119031235556320896_st,133775.15053044847
11222455493472018_sc,130293.99794639266
11222455493472018_st,195638.7815656845
1123499146680162742_sc,128041.40464025145
1123499146680162742_st,131982.78228907593
1126070781577415060_sc,127491.17735279625
1126070781577415060_st,131777.40428278933
1126877271043713659_sc,129369.21676981908
1126877271043713659_st,163868.68652095785
1128648311587971120_sc,135487.95146087714
1128648311587971120_st,131027.40225379748
1128814228344083814_sc,128875.68622584875
1128814228344083814_st,132590.91530266445
1129766292147277557_sc,127741.47752115759
1129766292147277557_st,133762.96220586714
1131546864431701911_sc,129291.71580960175
1131546864431701911_st,131392.91354022286
1136031752303953778_sc,128875.68622584875
1136031752303953778_st,131220.3801015795
1136471390576544145_sc,128875.68622584875
1136471390576544145_st,132176.93103289284
1137626983589975828_sc,133806.3222877803
1137626983589975828_st,162692.38590105757
1145009605155104884_sc,129369.21676981908
1145009605155104884_st,132531.1827088729
1149958127364605785_sc,128644.62693833448
1149958127364605785_st,165192.242950081
1151346651469575337_sc,135136.78640046102
1151346651469575337_st,226150.53801248298
1153540947733791830_sc,131530.55293188372
1153540947733791830_st,195638.7815656845
1156275031468463136_sc,135487.95146087714
1156275031468463136_st,194689.6721364572
1156694545460335017_sc,134417.66850775608
1156694545460335017_st,132999.5258747275
115885348859837276_sc,131227.27779136767
115885348859837276_st,132054.21730387447
1159207938497285892_sc,130189.46712014748
1159207938497285892_st,227369.6211750369
1160971248791325717_sc,128875.68622584875
1160971248791325717_st,131379.01243622415
1161843904632575594_sc,131095.33854610618
1161843904632575594_st,194416.69611724745
1167633864786053186_sc,128875.68622584875
1167633864786053186_st,162203.01012824365
1168157541031578455_sc,129104.71635790868
1168157541031578455_st,131560.1862971998
1170926351229275807_sc,128875.68622584875
1170926351229275807_st,195638.7815656845
1175385689997483703_sc,133685.80957473337
1175385689997483703_st,165045.31663777414
1175791667336060650_sc,131017.82119809208
1175791667336060650_st,194568.97301818852
1176502947759067386_sc,128875.68622584875
1176502947759067386_st,259200.0
1176818370378839086_sc,128875.68622584875
1176818370378839086_st,194501.23557015567
1179211379479512284_sc,132323.45113012075
1179211379479512284_st,164998.42452450606
1186516249413150404_sc,129687.35708541135
1186516249413150404_st,259200.0
1187615102176685882_sc,130435.18047058945
1187615102176685882_st,131174.29200808954
1187995611677437206_sc,132242.79590296108
1187995611677437206_st,132379.51893797913
1190424870217036395_sc,127491.17735279625
1190424870217036395_st,131710.19519333518
1191960282997642823_sc,128875.68622584875
1191960282997642823_st,259200.0
1194162776830151855_sc,130172.60897509135
1194162776830151855_st,131722.08438300353
1199641757841499367_sc,128875.68622584875
1199641757841499367_st,132889.86409713724
1200899806989014770_sc,128875.68622584875
1200899806989014770_st,259200.0
1204574205636847942_sc,132378.80166189818
1204574205636847942_st,133790.07442683252
1205014055416064598_sc,129729.96229360795
1205014055416064598_st,133091.69506772485
1206234638304930993_sc,128798.18526563149
1206234638304930993_st,259200.0
1207737003178589247_sc,128875.68622584875
1207737003178589247_st,195851.407083391
1209201922567589129_sc,131718.63878661938
1209201922567589129_st,131394.33311966193
1209266135065312559_sc,135947.987863668
1209266135065312559_st,132120.60348315706
1209684448831341752_sc,130761.36445633852
1209684448831341752_st,195192.829562312
1216484723925399897_sc,127491.17735279625
1216484723925399897_st,195775.67394826288
1216551715294982491_sc,127491.17735279625
1216551715294982491_st,226366.7580275237
122031620643150233_sc,128875.68622584875
122031620643150233_st,164509.31054914507
1225293060838887434_sc,128673.54684946865
1225293060838887434_st,131699.13378797134
1227457012435462438_sc,128041.40464025145
1227457012435462438_st,164787.4650732677
1229609562842818924_sc,132101.68321432837
1229609562842818924_st,131879.86324749436
1231413972006880331_sc,129104.71635790868
1231413972006880331_st,225010.16104515782
1232605060713570544_sc,128875.68622584875
1232605060713570544_st,162743.65024562075
1233658583417535945_sc,127557.90809273461
1233658583417535945_st,227159.0066305725
1234527712464722201_sc,130242.96926343955
1234527712464722201_st,164002.5028432116
1236618452781354742_sc,131838.30528587571
1236618452781354742_st,195825.32918220694
123979484119113285_sc,128798.18526563149
123979484119113285_st,162885.8106981591
1248297595627780685_sc,128740.27758940698
1248297595627780685_st,130556.06105623189
125102898244387791_sc,127808.20826109592
125102898244387791_st,226579.851581342
1251678112439909237_sc,128875.68622584875
1251678112439909237_st,132840.87801245364
1251711610192393941_sc,128875.68622584875
1251711610192393941_st,133850.40989240873
1252375118134913744_sc,128875.68622584875
1252375118134913744_st,132661.55025875845
1253893505327217043_sc,128875.68622584875
1253893505327217043_st,130908.5393228004
1257211796115020351_sc,132135.46965340633
1257211796115020351_st,131718.95338310162
1260244248473048882_sc,128875.68622584875
1260244248473048882_st,195918.11121311874
1264022936299507076_sc,129878.00500447836
1264022936299507076_st,131348.47051777312
1265362887592424102_sc,128875.68622584875
1265362887592424102_st,227477.61227890785
126760379585103536_sc,129687.35708541135
126760379585103536_st,131067.94774047144
1268668663105484535_sc,128878.59095305168
1268668663105484535_st,131249.39717130063
1268988768599406958_sc,130951.09045815373
1268988768599406958_st,195738.1494672084
1269617022810318893_sc,130093.34339023785
1269617022810318893_st,131312.47875004285
12710129175666777_sc,129636.68261307509
12710129175666777_st,131813.5809493865
127181479361225903_sc,133685.80957473337
127181479361225903_st,259200.0
1280782500667332514_sc,127491.17735279625
1280782500667332514_st,163944.61471741906
1281391375697256626_sc,128875.68622584875
1281391375697256626_st,132371.09991366506
1281554246271544540_sc,131017.82119809208
1281554246271544540_st,195638.7815656845
1283079572748604544_sc,132101.68321432837
1283079572748604544_st,131525.54403101862
1284329121151747079_sc,127808.20826109592
1284329121151747079_st,259200.0
1286394024293955508_sc,132763.336591876
1286394024293955508_st,165206.44654730038
12880076216702587_sc,130609.13171803895
12880076216702587_st,133958.9864322216
1289461437081782083_sc,128875.68622584875
1289461437081782083_st,133270.27833539437
1293570292730365189_sc,128875.68622584875
1293570292730365189_st,130552.08273873945
1293698919678093585_sc,128875.68622584875
1293698919678093585_st,226186.7911619741
1295673566983281594_sc,131314.35535183016
1295673566983281594_st,131640.79237826954
12977391562678610_sc,128875.68622584875
12977391562678610_st,132267.81481301197
1299921942054010422_sc,130761.36445633852
1299921942054010422_st,163243.28022356474
130079406502638965_sc,127808.20826109592
130079406502638965_st,132373.03290407616
